drug_id,Percentage,Sideview
CID100000450,0.0441176,Metrorrhagia
CID100000450,0.0692308,Metrorrhagia
CID100000450,0.096,Metrorrhagia
CID100000450,0.0,Metrorrhagia
CID100000450,0.0185185,Metrorrhagia
CID100000450,0.1,Fungal infection
CID100000450,0.0,Myocardial infarction
CID100000450,0.057377,Nasopharyngitis
CID100000450,0.057377,Nasopharyngitis
CID100000450,0.012987,Nasopharyngitis
CID100000450,0.152866,Nasopharyngitis
CID100000450,0.02,Nausea
CID100000450,0.0263158,Nausea
CID100000450,0.0425532,Nausea
CID100000450,0.0530303,Nausea
CID100000450,0.06,Nausea
CID100000450,0.0,Nausea
CID100000450,0.0344828,Nausea
CID100000450,0.014,Nervousness
CID100000450,0.0,Night sweats
CID100000450,0.0,Night sweats
CID100000450,0.0222222,Otitis media
CID100000450,0.05,Pain
CID100000450,0.0530303,Pain
CID100000450,0.0674157,Pain
CID100000450,0.08,Pain
CID100000450,0.11,Pain
CID100000450,0.11,Pain
CID100000450,0.124402,Pain
CID100000450,0.044586,Pain
CID100000450,0.0,Pain in extremity
CID100000450,0.0267857,Pain in extremity
CID100000450,0.0434783,Pain in extremity
CID100000450,0.006,Palpitations
CID100000450,0.014,Palpitations
CID100000450,0.0,Paraesthesia
CID100000450,0.0222222,Pharyngitis
CID100000450,0.0,Phlebitis
CID100000450,0.0224719,Pruritus
CID100000450,0.0359712,Pruritus
CID100000450,0.0674157,Pruritus
CID100000450,0.0,Pulmonary embolism
CID100000450,0.16092,Respiratory tract infection
CID100000450,0.213483,Respiratory tract infection
CID100000450,0.264368,Respiratory tract infection
CID100000450,0.02,Rhinitis
CID100000450,0.0,Sinus headache
CID100000450,0.0151515,Sinus headache
CID100000450,0.0923077,Sinus headache
CID100000450,0.0509554,Sinus headache
CID100000450,0.126214,Sinusitis
CID100000450,0.03,Sinusitis
CID100000450,0.0357143,Sinusitis
CID100000450,0.04,Sinusitis
CID100000450,0.05,Sinusitis
CID100000450,0.0674157,Sinusitis
CID100000450,0.0747126,Sinusitis
CID100000450,0.014,Sinusitis
CID100000450,0.101911,Sinusitis
CID100000450,0.0,Muscle spasms
CID100000450,0.0,Cerebrovascular accident
CID100000450,0.0,Dizziness
CID100000450,0.0,Syncope
CID100000450,0.0,Ulcer
CID100000450,0.158654,Upper respiratory tract infection
CID100000450,0.17,Upper respiratory tract infection
CID100000450,0.0243902,Upper respiratory tract infection
CID100000450,0.0243902,Upper respiratory tract infection
CID100000450,0.0357143,Upper respiratory tract infection
CID100000450,0.0442478,Upper respiratory tract infection
CID100000450,0.057377,Upper respiratory tract infection
CID100000450,0.0588235,Upper respiratory tract infection
CID100000450,0.0615385,Upper respiratory tract infection
CID100000450,0.167464,Upper respiratory tract infection
CID100000450,0.0364964,Upper respiratory tract infection
CID100000450,0.0425532,Upper respiratory tract infection
CID100000450,0.08,Upper respiratory tract infection
CID100000450,0.0,Pollakiuria
CID100000450,0.0224719,Urinary tract infection
CID100000450,0.0444444,Urinary tract infection
CID100000450,0.02,Vaginal infection
CID100000450,0.04,Vaginal inflammation
CID100000450,0.04,Vaginal infection
CID100000450,0.0804598,Vaginal inflammation
CID100000450,0.0804598,Vaginal inflammation
CID100000450,0.089,Vaginal inflammation
CID100000450,0.0,Vulval disorder
CID100000450,0.0530973,Vulvovaginitis
CID100000450,0.0194175,Weight increased
CID100000450,0.0,Dry mouth
CID100000450,0.0,Mood swings
CID100000450,0.0,Oedema peripheral
CID100000450,0.0337079,Oedema peripheral
CID100000450,0.0,Migraine
CID100000450,0.0222222,Migraine
CID100000450,0.006,Application site reaction
CID100000450,0.0574713,Application site reaction
CID100000450,0.550562,Application site reaction
CID100000450,0.566667,Application site reaction
CID100000450,0.0,Oedema genital
CID100000450,0.014,Endometrial disorder
CID100000450,0.139423,Injury
CID100000450,0.0,Liver function test abnormal
CID100000450,0.0,Sinus congestion
CID100000450,0.0291262,Sinus congestion
CID100000450,0.0265487,Reproductive tract disorder
CID100000450,0.0267857,Reproductive tract disorder
CID100000450,0.0176991,Vaginal discharge
CID100000450,0.0,Feeling abnormal
CID100000450,0.0172414,Musculoskeletal discomfort
CID100000450,0.0561798,Myalgia
CID100000450,0.0,Tenderness
CID100000450,0.0,Dry throat
CID100000450,0.0,Heart rate irregular
CID100000450,0.0,Facial rash
CID100000450,0.00735294,Hyperaesthesia
CID100000450,0.0675676,Hyperaesthesia
CID100000450,0.0,Nipple pain
CID100000450,0.0,Hyperaesthesia
CID100000450,0.08,Perineal pain
CID100000450,0.107143,Breast tenderness
CID100000450,0.170213,Breast tenderness
CID100000450,0.0526316,Breast tenderness
CID100000450,0.0619469,Breast tenderness
CID100000450,0.0652174,Breast tenderness
CID100000450,0.0661765,Breast tenderness
CID100000450,0.0774648,Breast tenderness
CID100000450,0.0774648,Breast tenderness
CID100000450,0.0776699,Breast tenderness
CID100000450,0.0,Breast tenderness
CID100000450,0.0364964,Breast tenderness
CID100000450,0.0,Ectropion of cervix
CID100000450,0.0,Glucose tolerance impaired
CID100000450,0.0,Papule
CID100000450,0.0,Malignant mesenchymoma
CID100000450,0.001,Genital candidiasis
CID100000450,0.0,Blindness
CID100000450,0.0,Blood pressure increased
CID100000450,0.1,Localized exfoliation
CID100000450,0.0,Drug effect decreased
CID100000450,0.0,Pre-existing disease
CID100000450,0.0,Visual impairment
CID100000450,0.0243902,Vaginal mycosis
